<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;5;20200103;100000;259.1000000;259.7000000;258.5200000;259.5100000;1317310
GAZP;5;20200103;100500;259.5100000;259.9600000;259.0800000;259.9500000;613440
GAZP;5;20200103;101000;259.9000000;260.2700000;259.2100000;259.5000000;759680
GAZP;5;20200103;101500;259.5200000;259.7700000;259.3300000;259.4300000;242040
GAZP;5;20200103;102000;259.4700000;259.7000000;259.3200000;259.6200000;175930
GAZP;5;20200103;102500;259.6200000;259.6900000;259.4000000;259.4500000;94940
GAZP;5;20200103;103000;259.4300000;259.5700000;259.4000000;259.5200000;65510
GAZP;5;20200103;103500;259.5000000;259.6000000;259.3200000;259.4500000;159910
GAZP;5;20200103;104000;259.4500000;259.6700000;259.4300000;259.6700000;78200
GAZP;5;20200103;104500;259.6100000;259.6900000;259.5000000;259.5900000;99330
GAZP;5;20200103;105000;259.5900000;259.6100000;259.4000000;259.4300000;122390
GAZP;5;20200103;105500;259.4300000;259.5000000;259.2700000;259.3600000;169120
GAZP;5;20200103;110000;259.3600000;259.6200000;259.2000000;259.2100000;581140
GAZP;5;20200103;110500;259.2100000;260.7000000;259.1800000;260.6200000;1526960
GAZP;5;20200103;111000;260.5500000;260.7800000;260.2600000;260.5900000;285370
GAZP;5;20200103;111500;260.5900000;260.6900000;259.0400000;260.3400000;1339360
GAZP;5;20200103;112000;260.3500000;260.5300000;259.9100000;260.0300000;253640
GAZP;5;20200103;112500;260.0200000;260.9500000;259.9900000;260.9000000;759110
GAZP;5;20200103;113000;260.8800000;261.1500000;260.6800000;261.1500000;866120
GAZP;5;20200103;113500;261.1200000;261.2400000;260.8600000;261.0300000;947420
GAZP;5;20200103;114000;261.0000000;261.5500000;260.8900000;260.9100000;823350
GAZP;5;20200103;114500;260.9600000;261.6400000;260.9100000;261.6000000;439210
GAZP;5;20200103;115000;261.6100000;261.7500000;261.5100000;261.6800000;553600
GAZP;5;20200103;115500;261.6500000;261.8600000;261.6500000;261.7500000;294810
GAZP;5;20200103;120000;261.8000000;261.8900000;261.3300000;261.5000000;416250
GAZP;5;20200103;120500;261.4800000;261.5800000;261.3200000;261.3200000;103480
GAZP;5;20200103;121000;261.3200000;261.4900000;261.2400000;261.3900000;170990
GAZP;5;20200103;121500;261.3900000;261.7000000;261.3100000;261.6600000;382550
GAZP;5;20200103;122000;261.6200000;261.9000000;261.5200000;261.7800000;353440
GAZP;5;20200103;122500;261.7000000;261.8200000;261.6000000;261.6700000;82370
GAZP;5;20200103;123000;261.6500000;261.8000000;261.4300000;261.5600000;225220
GAZP;5;20200103;123500;261.5900000;261.7600000;261.3000000;261.3800000;196050
GAZP;5;20200103;124000;261.3100000;261.4000000;261.2600000;261.4000000;181550
GAZP;5;20200103;124500;261.3500000;261.4600000;260.9100000;261.4300000;535750
GAZP;5;20200103;125000;261.3500000;261.5300000;261.2200000;261.3800000;182380
GAZP;5;20200103;125500;261.3300000;261.6800000;261.3300000;261.5000000;517870
GAZP;5;20200103;130000;261.5400000;261.8200000;261.4400000;261.6700000;194500
