_date_	_open_	_high_	_low_	_close_	_per_	_vol_
2020-01-03 10:00	259.10	259.70	258.52	259.51	5	1317310
2020-01-03 10:05	259.51	259.96	259.08	259.95	5	613440
2020-01-03 10:10	259.90	260.27	259.21	259.50	5	759680
2020-01-03 10:15	259.52	259.77	259.33	259.43	5	242040
2020-01-03 10:20	259.47	259.70	259.32	259.62	5	175930
2020-01-03 10:25	259.62	259.69	259.40	259.45	5	94940
2020-01-03 10:30	259.43	259.57	259.40	259.52	5	65510
2020-01-03 10:35	259.50	259.60	259.32	259.45	5	159910
2020-01-03 10:40	259.45	259.67	259.43	259.67	5	78200
2020-01-03 10:45	259.61	259.69	259.50	259.59	5	99330
2020-01-03 10:50	259.59	259.61	259.40	259.43	5	122390
2020-01-03 10:55	259.43	259.50	259.27	259.36	5	169120
2020-01-03 11:00	259.36	259.62	259.20	259.21	5	581140
2020-01-03 11:05	259.21	260.70	259.18	260.62	5	1526960
2020-01-03 11:10	260.55	260.78	260.26	260.59	5	285370
2020-01-03 11:15	260.59	260.69	259.04	260.34	5	1339360
2020-01-03 11:20	260.35	260.53	259.91	260.03	5	253640
2020-01-03 11:25	260.02	260.95	259.99	260.90	5	759110
2020-01-03 11:30	260.88	261.15	260.68	261.15	5	866120
2020-01-03 11:35	261.12	261.24	260.86	261.03	5	947420
2020-01-03 11:40	261.00	261.55	260.89	260.91	5	823350
2020-01-03 11:45	260.96	261.64	260.91	261.60	5	439210
2020-01-03 11:50	261.61	261.75	261.51	261.68	5	553600
2020-01-03 11:55	261.65	261.86	261.65	261.75	5	294810
2020-01-03 12:00	261.80	261.89	261.33	261.50	5	416250
2020-01-03 12:05	261.48	261.58	261.32	261.32	5	103480
2020-01-03 12:10	261.32	261.49	261.24	261.39	5	170990
2020-01-03 12:15	261.39	261.70	261.31	261.66	5	382550
2020-01-03 12:20	261.62	261.90	261.52	261.78	5	353440
2020-01-03 12:25	261.70	261.82	261.60	261.67	5	82370
2020-01-03 12:30	261.65	261.80	261.43	261.56	5	225220
2020-01-03 12:35	261.59	261.76	261.30	261.38	5	196050
2020-01-03 12:40	261.31	261.40	261.26	261.40	5	181550
2020-01-03 12:45	261.35	261.46	260.91	261.43	5	535750
2020-01-03 12:50	261.35	261.53	261.22	261.38	5	182380
2020-01-03 12:55	261.33	261.68	261.33	261.50	5	517870
2020-01-03 13:00	261.54	261.82	261.44	261.67	5	194500
2020-01-03 13:05	261.74	261.75	261.45	261.46	5	113860
2020-01-03 13:10	261.49	261.59	261.20	261.30	5	217460
2020-01-03 13:15	261.36	261.54	260.94	261.32	5	795890
2020-01-03 13:20	261.32	261.52	261.23	261.38	5	137320
2020-01-03 13:25	261.32	261.33	261.10	261.20	5	78190
2020-01-03 13:30	261.20	261.43	261.18	261.42	5	80050
2020-01-03 13:35	261.38	261.68	261.34	261.60	5	206030
2020-01-03 13:40	261.60	261.69	261.51	261.59	5	107830
2020-01-03 13:45	261.59	261.60	261.42	261.44	5	72890
2020-01-03 13:50	261.40	261.40	261.07	261.12	5	143330
2020-01-03 13:55	261.20	261.20	261.07	261.18	5	54150
2020-01-03 14:00	261.20	261.50	261.14	261.42	5	46360
2020-01-03 14:05	261.43	261.57	261.32	261.37	5	57760
2020-01-03 14:10	261.37	261.37	261.10	261.17	5	70390
2020-01-03 14:15	261.18	261.18	260.72	260.87	5	408720
2020-01-03 14:20	260.90	261.09	260.72	260.72	5	173320
2020-01-03 14:25	260.72	260.90	260.66	260.70	5	93470
2020-01-03 14:30	260.75	260.75	260.50	260.58	5	165400
2020-01-03 14:35	260.58	260.70	260.47	260.49	5	178520
2020-01-03 14:40	260.46	260.46	259.80	259.89	5	870030
2020-01-03 14:45	259.89	260.00	259.73	259.83	5	342900
2020-01-03 14:50	259.83	259.83	259.43	259.53	5	361020
2020-01-03 14:55	259.54	259.87	259.45	259.69	5	268500
2020-01-03 15:00	259.63	259.63	259.04	259.07	5	605370
2020-01-03 15:05	259.07	259.17	258.76	258.96	5	759730
2020-01-03 15:10	258.97	259.14	258.80	259.14	5	165290
2020-01-03 15:15	259.14	259.14	259.03	259.03	5	117040
2020-01-03 15:20	259.05	259.08	258.84	259.08	5	122140
2020-01-03 15:25	259.02	259.06	258.90	258.94	5	92180
2020-01-03 15:30	258.93	258.97	258.36	258.58	5	464740
2020-01-03 15:35	258.58	258.72	258.55	258.63	5	70960
2020-01-03 15:40	258.63	258.66	258.50	258.58	5	84200
2020-01-03 15:45	258.57	258.75	258.57	258.66	5	123590
2020-01-03 15:50	258.65	258.69	258.46	258.57	5	156350
2020-01-03 15:55	258.55	258.89	258.55	258.73	5	245630
2020-01-03 16:00	258.72	258.88	258.63	258.67	5	143830
2020-01-03 16:05	258.73	258.98	258.62	258.89	5	196370
2020-01-03 16:10	258.89	259.08	258.83	259.08	5	212160
2020-01-03 16:15	259.07	259.07	258.76	258.84	5	128080
2020-01-03 16:20	258.85	258.93	258.70	258.77	5	58560
2020-01-03 16:25	258.83	258.91	258.61	258.65	5	112870
2020-01-03 16:30	258.64	258.80	258.61	258.62	5	84710
2020-01-03 16:35	258.62	258.69	258.57	258.60	5	74260
2020-01-03 16:40	258.66	258.78	258.55	258.78	5	78470
2020-01-03 16:45	258.78	258.78	258.60	258.61	5	125370
2020-01-03 16:50	258.71	258.71	258.50	258.60	5	434640
2020-01-03 16:55	258.59	258.69	258.47	258.66	5	348080
2020-01-03 17:00	258.66	258.77	258.62	258.73	5	92510
2020-01-03 17:05	258.78	258.91	258.74	258.86	5	113300
2020-01-03 17:10	258.85	258.86	258.57	258.57	5	142690
2020-01-03 17:15	258.57	258.65	258.34	258.60	5	243870
2020-01-03 17:20	258.60	258.60	258.24	258.32	5	165280
2020-01-03 17:25	258.34	258.40	257.77	258.08	5	503110
2020-01-03 17:30	258.08	258.61	258.05	258.56	5	252880
2020-01-03 17:35	258.56	258.73	258.14	258.24	5	351590
2020-01-03 17:40	258.29	258.73	258.29	258.67	5	121400
2020-01-03 17:45	258.73	259.00	258.67	258.93	5	236100
2020-01-03 17:50	258.94	259.30	258.83	259.18	5	247210
2020-01-03 17:55	259.18	259.55	259.10	259.50	5	388480
2020-01-03 18:00	259.45	259.55	259.23	259.23	5	531500
2020-01-03 18:05	259.23	259.50	259.14	259.50	5	128010
2020-01-03 18:10	259.50	259.50	259.31	259.40	5	148590
2020-01-03 18:15	259.44	259.50	259.29	259.32	5	138120
2020-01-03 18:20	259.29	259.38	258.93	259.25	5	762570
2020-01-03 18:25	259.25	259.25	258.77	258.80	5	282640
2020-01-03 18:30	258.80	258.89	258.60	258.67	5	426390
2020-01-03 18:35	258.67	258.84	258.50	258.58	5	564680
2020-01-03 18:40	259.00	259.00	259.00	259.00	5	2327070
2020-01-03 18:45	258.91	258.96	256.66	256.80	5	1485420
2020-01-03 18:50	256.88	257.34	256.07	256.36	5	1389700
2020-01-03 18:55	256.30	256.93	256.00	256.46	5	1881580
2020-01-06 10:00	256.45	256.69	256.30	256.69	5	161320
2020-01-06 10:05	256.69	256.75	256.28	256.31	5	282030
2020-01-06 10:10	256.31	256.44	256.06	256.21	5	287790
2020-01-06 10:15	256.19	256.48	256.06	256.28	5	143560
2020-01-06 10:20	256.37	256.78	256.28	256.57	5	222350
2020-01-06 10:25	256.56	256.63	256.33	256.50	5	92750
2020-01-06 10:30	256.52	256.71	256.33	256.71	5	87980
2020-01-06 10:35	256.71	257.09	256.57	256.91	5	162010
2020-01-06 10:40	256.91	257.34	256.56	256.57	5	224990
2020-01-06 10:45	256.66	257.21	256.56	256.96	5	283990
2020-01-06 10:50	257.00	257.19	256.66	257.15	5	153300
2020-01-06 10:55	257.09	257.55	257.00	257.03	5	345000
2020-01-06 11:00	257.03	257.30	256.87	257.17	5	204040
2020-01-06 11:05	257.29	257.56	257.22	257.54	5	178670
2020-01-06 11:10	257.53	257.56	257.01	257.20	5	162420
2020-01-06 11:15	257.20	257.32	256.82	256.82	5	442290
2020-01-06 11:20	256.89	257.05	256.50	256.53	5	359650
2020-01-06 11:25	256.54	256.57	256.30	256.51	5	379940
2020-01-06 11:30	256.49	256.63	256.30	256.30	5	503310
2020-01-06 11:35	256.38	256.38	256.01	256.09	5	724110
2020-01-06 11:40	256.09	256.31	256.01	256.16	5	280880
2020-01-06 11:45	256.11	256.30	256.04	256.29	5	100500
2020-01-06 11:50	256.29	256.29	256.02	256.05	5	149550
2020-01-06 11:55	256.03	256.24	255.90	256.18	5	769110
2020-01-06 12:00	256.18	256.34	256.08	256.21	5	93600
2020-01-06 12:05	256.21	256.25	255.80	255.98	5	282740
2020-01-06 12:10	255.99	255.99	255.57	255.70	5	486410
2020-01-06 12:15	255.70	255.80	255.50	255.65	5	340390
2020-01-06 12:20	255.65	255.70	255.42	255.70	5	369600
2020-01-06 12:25	255.67	256.05	255.55	256.04	5	200360
2020-01-06 12:30	255.99	256.05	255.85	256.05	5	134670
2020-01-06 12:35	256.05	256.44	256.00	256.28	5	290620
2020-01-06 12:40	256.22	256.30	256.05	256.05	5	272910
2020-01-06 12:45	256.06	256.23	256.02	256.13	5	123530
2020-01-06 12:50	256.07	256.07	255.75	255.92	5	218420
2020-01-06 12:55	256.00	256.09	255.88	255.91	5	83320
2020-01-06 13:00	255.90	255.97	255.67	255.85	5	97740
2020-01-06 13:05	255.85	255.92	255.70	255.87	5	90460
