_date_,_close_,_high_,_low_,_open_
2020-01-03 10:00,259.51,259.70,258.52,259.10
2020-01-03 10:05,259.95,259.96,259.08,259.51
2020-01-03 10:10,259.50,260.27,259.21,259.90
2020-01-03 10:15,259.43,259.77,259.33,259.52
2020-01-03 10:20,259.62,259.70,259.32,259.47
2020-01-03 10:25,259.45,259.69,259.40,259.62
2020-01-03 10:30,259.52,259.57,259.40,259.43
2020-01-03 10:35,259.45,259.60,259.32,259.50
2020-01-03 10:40,259.67,259.67,259.43,259.45
2020-01-03 10:45,259.59,259.69,259.50,259.61
2020-01-03 10:50,259.43,259.61,259.40,259.59
2020-01-03 10:55,259.36,259.50,259.27,259.43
2020-01-03 11:00,259.21,259.62,259.20,259.36
2020-01-03 11:05,260.62,260.70,259.18,259.21
2020-01-03 11:10,260.59,260.78,260.26,260.55
2020-01-03 11:15,260.34,260.69,259.04,260.59
2020-01-03 11:20,260.03,260.53,259.91,260.35
2020-01-03 11:25,260.90,260.95,259.99,260.02
2020-01-03 11:30,261.15,261.15,260.68,260.88
2020-01-03 11:35,261.03,261.24,260.86,261.12
2020-01-03 11:40,260.91,261.55,260.89,261.00
2020-01-03 11:45,261.60,261.64,260.91,260.96
2020-01-03 11:50,261.68,261.75,261.51,261.61
2020-01-03 11:55,261.75,261.86,261.65,261.65
2020-01-03 12:00,261.50,261.89,261.33,261.80
2020-01-03 12:05,261.32,261.58,261.32,261.48
2020-01-03 12:10,261.39,261.49,261.24,261.32
2020-01-03 12:15,261.66,261.70,261.31,261.39
2020-01-03 12:20,261.78,261.90,261.52,261.62
2020-01-03 12:25,261.67,261.82,261.60,261.70
2020-01-03 12:30,261.56,261.80,261.43,261.65
2020-01-03 12:35,261.38,261.76,261.30,261.59
2020-01-03 12:40,261.40,261.40,261.26,261.31
2020-01-03 12:45,261.43,261.46,260.91,261.35
2020-01-03 12:50,261.38,261.53,261.22,261.35
2020-01-03 12:55,261.50,261.68,261.33,261.33
2020-01-03 13:00,261.67,261.82,261.44,261.54
2020-01-03 13:05,261.46,261.75,261.45,261.74
2020-01-03 13:10,261.30,261.59,261.20,261.49
2020-01-03 13:15,261.32,261.54,260.94,261.36
2020-01-03 13:20,261.38,261.52,261.23,261.32
2020-01-03 13:25,261.20,261.33,261.10,261.32
2020-01-03 13:30,261.42,261.43,261.18,261.20
2020-01-03 13:35,261.60,261.68,261.34,261.38
2020-01-03 13:40,261.59,261.69,261.51,261.60
2020-01-03 13:45,261.44,261.60,261.42,261.59
2020-01-03 13:50,261.12,261.40,261.07,261.40
